Role,DyadID,Site,Current_Color,Current pain,Condition,Trials,Counterbalance,Temperature,Condition_new,Experimenter,Block,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2,9,1,0,46,Vaseline,2,2,0,0,1,1,-0.432940071,-0.237802557,0.181320943,0.395383879,0.543005627,0.733923517,0.731096335,0.603502696,0.440031288,0.259675877,0.075781548,-0.079624197,-0.200979856,-0.293691404,-0.308832917,-0.116189827
2,9,4,0,46,Vaseline,4,2,0,0,1,1,-0.444104415,-0.369851674,-0.191965068,-0.006375839,0.202330483,0.292974978,0.278334743,0.295164739,0.259449935,0.161837599,0.048888147,-0.045985828,-0.007182078,0.191075092,0.278256366,0.249556369
2,9,3,0,46,Vaseline,5,2,0,0,1,1,-0.405861298,-0.421265856,-0.390272837,-0.242682619,0.079757992,0.392258795,0.507008268,0.547331987,0.543800773,0.458312795,0.33343048,0.22552686,0.161476093,0.088824189,0.012719314,-0.048569133
2,9,2,0,46,Vaseline,3,2,0,0,1,1,-0.333674519,-0.35505743,-0.371028001,-0.384511218,-0.367249676,-0.101946207,0.334260922,0.561255893,0.601890145,0.551307219,0.454766983,0.33173273,0.208105728,0.102712738,0.019245335,-0.037281174
2,9,3,0,46,Vaseline,6,2,0,0,1,1,-0.290430534,-0.205704508,-0.109286397,-0.07679814,-0.069882532,-0.074722111,-0.054685575,0.001870276,0.015405953,-0.00216491,-0.032772983,-0.058279701,-0.065542018,-0.081735118,-0.110009764,-0.141854449
2,9,1,0,46,Vaseline,7,2,0,0,1,1,-0.3474949,-0.042996146,0.485206828,0.790132471,0.902521532,0.92729369,0.882452074,0.750467877,0.585153518,0.429288731,0.297296104,0.190650028,0.106907105,0.041362487,-0.009041577,-0.048612612
2,9,4,0,46,Vaseline,8,2,0,0,1,1,-0.199715968,-0.190065731,-0.174800222,-0.157282792,-0.128354293,-0.095900437,-0.048884796,-0.006861499,0.002328588,-0.003233683,-0.007524844,-0.00900725,-0.00954886,-0.001142569,0.006643753,0.000967374
2,9,2,1,46,Thermedol,1,2,0,1,1,2,-0.071382989,-0.038931218,-0.017202652,0.000481243,0.110369584,0.242561872,0.296929941,0.296210283,0.27115433,0.239414128,0.257660382,0.297724431,0.296924638,0.274331871,0.243185127,0.206885043
2,9,1,1,46,Thermedol,2,2,0,1,1,2,0.018562268,0.007258125,-0.002456356,-0.009844137,-0.013397742,-0.01445281,-0.016333919,-0.010082264,0.001821795,0.006387991,0.00446952,0.000776883,-0.003576643,-0.004105428,-0.000173711,0.002390137
2,9,4,1,46,Thermedol,4,2,0,1,1,2,-0.021266861,-0.024522051,-0.027388274,-0.029410577,-0.032003581,-0.034750403,-0.036341002,-0.037832138,-0.039557513,-0.042097944,-0.044576515,-0.046883743,-0.048668486,-0.049689157,-0.051560069,-0.054190308
2,9,3,1,46,Thermedol,5,2,0,1,1,2,-0.082702135,-0.084449022,-0.058143557,0.001344996,0.041444783,0.063066423,0.083125959,0.092425393,0.089237062,0.078954855,0.06642498,0.053622163,0.041739549,0.030585668,0.019380423,0.010486641
2,9,2,1,46,Thermedol,3,2,0,1,1,2,-0.0344798,-0.038471514,-0.042338413,-0.046035581,-0.050141609,-0.053017701,-0.049874367,-0.023957839,0.022164524,0.050268571,0.062116206,0.063941004,0.060616412,0.056040374,0.048155961,0.039616705
2,9,3,1,46,Thermedol,6,2,0,1,1,2,-0.005585541,-0.007559052,-0.008742414,-0.010801568,-0.009859416,-0.008670408,-0.009045402,-0.009923392,-0.00966207,-0.009656866,-0.009947522,-0.009042656,-0.005636538,-0.004392793,-0.004338769,-0.004713506
2,9,1,1,46,Thermedol,7,2,0,1,1,2,-0.017320267,-0.018820358,-0.020616847,-0.022306808,-0.023305042,-0.024156077,-0.024454317,-0.024522086,-0.022201783,-0.019782143,-0.019324652,-0.020339077,-0.021401439,-0.023089027,-0.024716599,-0.027588998
